model,row,equation,mean,std,p05,p95,ess,geweke_z
first_diff,const,cpi_yoy,0.004336888587772346,0.0463210720928926,-0.0719605462866232,0.0774861274670971,3676.6101226112955,0.6653050752605483
first_diff,const,policy_rate,0.002955309888068355,0.011039741998604101,-0.015019766189254316,0.020841868216483466,3839.5889536879845,0.3664457508626093
first_diff,const,plneur,0.0012312022629480221,0.004706284705822305,-0.006804529226687311,0.008785800924486907,3875.3544551857435,0.8248781389155831
first_diff,cpi_l1,cpi_yoy,0.3749067352877526,0.07284108675543209,0.25689318794559013,0.4943486525464113,4000.0,0.7799210424230115
first_diff,cpi_l1,policy_rate,0.03514575954899878,0.017477153548185343,0.006510273506267717,0.0640389836268191,3833.3041740875883,0.9914718076114464
first_diff,cpi_l1,plneur,0.00023100018542651857,0.00743989997110165,-0.012001202883339036,0.012327933337151313,3835.2618759420234,-0.026275300765040872
first_diff,rate_l1,cpi_yoy,0.5253111824768656,0.2615274351159728,0.09521457302154121,0.948760121337762,4000.0,-0.04644194989054664
first_diff,rate_l1,policy_rate,0.6532407264998967,0.06303506984009694,0.5495206493980757,0.757422946739067,3292.2237506952333,-0.5818218849819112
first_diff,rate_l1,plneur,0.007511035177341339,0.02668560933315428,-0.03725844339798148,0.05108938817819813,4000.0,0.1581421513485231
first_diff,fx_l1,cpi_yoy,0.6650788970720518,0.7083754796515588,-0.5243261304220518,1.82313678577919,4000.0,0.43230677491799835
first_diff,fx_l1,policy_rate,0.051443228254709296,0.17030606063529902,-0.2261612776279847,0.334133638615548,4000.0,-0.7893352070114064
first_diff,fx_l1,plneur,0.22741189789193253,0.0712800303449998,0.11071188254347224,0.3452298568136769,4000.0,0.5481075629073248
first_diff,cpi_l2,cpi_yoy,0.016205548336380184,0.042804281476727254,-0.05497299055857121,0.08600544051708346,3892.553555305054,1.603984315368663
first_diff,cpi_l2,policy_rate,-0.008542421085769813,0.010271352993183911,-0.025426182028157305,0.00809960098501133,3855.127703803281,-1.8588581542191953
first_diff,cpi_l2,plneur,0.003213906388732709,0.004387945657397209,-0.004012560208583393,0.01039713455024975,3978.6068669593556,0.7509566119793417
first_diff,rate_l2,cpi_yoy,0.05193589346928496,0.1704297819103286,-0.21835774230725022,0.32861258948510247,3639.2918608026735,-1.3583097663327848
first_diff,rate_l2,policy_rate,0.04643427041528086,0.04127279181008326,-0.022087889459508143,0.11290319280076581,3696.757121213204,0.358169254636117
first_diff,rate_l2,plneur,0.007560697795833547,0.01780275161458141,-0.02084870584984195,0.037206473030301536,4000.0,-0.8959261187621258
first_diff,fx_l2,cpi_yoy,0.12091273417437992,0.42124947913497174,-0.5668696294037485,0.8201341162124492,4000.0,0.4863695060796898
first_diff,fx_l2,policy_rate,-0.011872233135411787,0.10147819709677512,-0.18082671989206675,0.15393906025640539,4000.0,1.211330220501523
first_diff,fx_l2,plneur,-0.07039481460039407,0.04344824078482945,-0.14178778790520005,0.0005452408564197012,4000.0,0.6289743144388175
